HDR,ROLLING SYSTEM DEMAND
VD,20210918000000,22178
VD,20210918000500,22378
VD,20210918001000,22380
VD,20210918001500,22362
VD,20210918002000,22435
VD,20210918002500,22442
VD,20210918003000,22378
VD,20210918003500,22441
VD,20210918004000,22415
VD,20210918004500,22366
VD,20210918005000,22310
VD,20210918005500,22252
VD,20210918010000,22178
VD,20210918010500,22122
VD,20210918011000,22072
VD,20210918011500,21981
VD,20210918012000,21915
VD,20210918012500,21846
VD,20210918013000,21828
VD,20210918013500,21806
VD,20210918014000,21751
VD,20210918014500,21694
VD,20210918015000,21600
VD,20210918015500,21555
VD,20210918020000,21496
VD,20210918020500,21474
VD,20210918021000,21399
VD,20210918021500,21365
VD,20210918022000,21336
VD,20210918022500,21324
VD,20210918023000,21329
VD,20210918023500,21399
VD,20210918024000,21121
VD,20210918024500,21245
VD,20210918025000,21238
VD,20210918025500,21216
VD,20210918030000,21161
VD,20210918030500,21143
VD,20210918031000,21108
VD,20210918031500,21082
VD,20210918032000,21088
VD,20210918032500,20920
VD,20210918033000,20925
VD,20210918033500,20938
VD,20210918034000,20969
VD,20210918034500,20994
VD,20210918035000,21024
VD,20210918035500,21061
VD,20210918040000,21092
VD,20210918040500,21195
VD,20210918041000,21048
VD,20210918041500,20933
VD,20210918042000,20809
VD,20210918042500,20811
VD,20210918043000,20819
VD,20210918043500,20879
VD,20210918044000,20927
VD,20210918044500,20984
VD,20210918045000,21138
VD,20210918045500,21253
VD,20210918050000,21411
VD,20210918050500,21741
VD,20210918051000,21955
VD,20210918051500,22045
VD,20210918052000,22144
VD,20210918052500,22231
VD,20210918053000,22239
VD,20210918053500,22346
VD,20210918054000,22463
VD,20210918054500,22620
VD,20210918055000,22799
VD,20210918055500,22995
VD,20210918060000,23126
VD,20210918060500,23382
VD,20210918061000,23704
VD,20210918061500,23937
VD,20210918062000,24135
VD,20210918062500,24270
VD,20210918063000,24316
VD,20210918063500,24517
VD,20210918064000,24716
VD,20210918064500,24910
VD,20210918065000,25079
VD,20210918065500,25312
VD,20210918070000,25522
VD,20210918070500,25825
VD,20210918071000,25958
VD,20210918071500,26119
VD,20210918072000,26321
VD,20210918072500,26467
VD,20210918073000,26524
VD,20210918073500,26686
VD,20210918074000,26700
VD,20210918074500,26700
VD,20210918075000,26733
VD,20210918075500,26707
VD,20210918080000,26623
VD,20210918080500,26622
VD,20210918081000,26647
VD,20210918081500,26627
VD,20210918082000,26546
VD,20210918082500,26518
VD,20210918083000,26434
VD,20210918083500,26406
VD,20210918084000,26361
VD,20210918084500,26251
VD,20210918085000,26153
VD,20210918085500,26038
VD,20210918090000,26003
VD,20210918090500,26082
VD,20210918091000,26058
VD,20210918091500,26073
VD,20210918092000,26026
VD,20210918092500,25944
VD,20210918093000,25887
VD,20210918093500,25890
VD,20210918094000,25906
VD,20210918094500,25834
VD,20210918095000,25662
VD,20210918095500,25511
VD,20210918100000,25455
VD,20210918100500,25431
VD,20210918101000,25342
VD,20210918101500,25207
VD,20210918102000,25183
VD,20210918102500,25120
VD,20210918103000,25063
VD,20210918103500,25059
VD,20210918104000,25039
VD,20210918104500,25046
VD,20210918105000,25072
VD,20210918105500,25024
VD,20210918110000,24906
VD,20210918110500,25000
VD,20210918111000,25108
VD,20210918111500,25159
VD,20210918112000,25182
VD,20210918112500,25244
VD,20210918113000,25214
VD,20210918113500,25333
VD,20210918114000,25309
VD,20210918114500,25312
VD,20210918115000,25297
VD,20210918115500,25283
VD,20210918120000,25315
VD,20210918120500,25434
VD,20210918121000,25501
VD,20210918121500,25547
VD,20210918122000,25491
VD,20210918122500,25502
VD,20210918123000,25502
VD,20210918123500,25554
VD,20210918124000,25555
VD,20210918124500,25583
VD,20210918125000,25532
VD,20210918125500,25539
VD,20210918130000,25455
VD,20210918130500,25472
VD,20210918131000,25419
VD,20210918131500,25323
VD,20210918132000,25296
VD,20210918132500,25349
VD,20210918133000,25316
VD,20210918133500,25330
VD,20210918134000,25387
VD,20210918134500,25418
VD,20210918135000,25460
VD,20210918135500,25538
VD,20210918140000,25554
VD,20210918140500,25655
VD,20210918141000,25794
VD,20210918141500,25837
VD,20210918142000,25883
VD,20210918142500,25885
VD,20210918143000,25904
VD,20210918143500,25951
VD,20210918144000,26034
VD,20210918144500,26104
VD,20210918145000,26198
VD,20210918145500,26303
VD,20210918150000,26373
VD,20210918150500,26587
VD,20210918151000,26668
VD,20210918151500,26768
VD,20210918152000,26850
VD,20210918152500,26936
VD,20210918153000,26927
VD,20210918153500,26895
VD,20210918154000,26965
VD,20210918154500,27092
VD,20210918155000,27224
VD,20210918155500,27317
VD,20210918160000,27470
VD,20210918160500,27718
VD,20210918161000,27975
VD,20210918161500,28175
VD,20210918162000,28342
VD,20210918162500,28591
VD,20210918163000,28703
VD,20210918163500,28823
VD,20210918164000,28878
VD,20210918164500,28925
VD,20210918165000,28986
VD,20210918165500,28977
VD,20210918170000,29115
VD,20210918170500,29220
VD,20210918171000,29221
VD,20210918171500,29233
VD,20210918172000,29381
VD,20210918172500,29483
VD,20210918173000,29516
VD,20210918173500,29590
VD,20210918174000,29761
VD,20210918174500,29791
VD,20210918175000,29845
VD,20210918175500,29915
VD,20210918180000,30057
VD,20210918180500,30286
VD,20210918181000,30460
VD,20210918181500,30419
VD,20210918182000,30474
VD,20210918182500,30452
VD,20210918183000,30472
VD,20210918183500,30401
VD,20210918184000,30364
VD,20210918184500,30370
VD,20210918185000,30305
VD,20210918185500,30156
VD,20210918190000,30235
VD,20210918190500,30099
VD,20210918191000,30106
VD,20210918191500,30051
VD,20210918192000,29919
VD,20210918192500,29662
VD,20210918193000,29448
VD,20210918193500,29353
VD,20210918194000,29165
VD,20210918194500,29024
VD,20210918195000,28769
VD,20210918195500,28592
VD,20210918200000,28498
VD,20210918200500,28338
VD,20210918201000,28158
VD,20210918201500,28032
VD,20210918202000,27872
VD,20210918202500,27699
VD,20210918203000,27422
VD,20210918203500,27281
VD,20210918204000,27122
VD,20210918204500,26928
VD,20210918205000,26777
VD,20210918205500,26647
VD,20210918210000,26486
VD,20210918210500,26220
VD,20210918211000,26052
VD,20210918211500,25798
VD,20210918212000,25622
VD,20210918212500,25434
VD,20210918213000,25239
VD,20210918213500,25059
VD,20210918214000,24866
VD,20210918214500,24659
VD,20210918215000,24404
VD,20210918215500,24186
VD,20210918220000,23969
VD,20210918220500,23813
VD,20210918221000,23712
VD,20210918221500,23571
VD,20210918222000,23313
VD,20210918222500,23182
VD,20210918223000,23042
VD,20210918223500,22962
VD,20210918224000,22900
VD,20210918224500,22837
VD,20210918225000,22867
VD,20210918225500,22732
VD,20210918230000,22552
VD,20210918230500,22449
VD,20210918231000,22264
VD,20210918231500,22142
VD,20210918232000,22001
VD,20210918232500,21919
VD,20210918233000,21822
VD,20210918233500,21805
VD,20210918234000,21879
VD,20210918234500,21881
VD,20210918235000,21798
VD,20210918235500,21696
VD,20210919000000,21638
VD,20210919000500,21678
VD,20210919001000,21640
VD,20210919001500,21618
VD,20210919002000,21676
VD,20210919002500,21659
VD,20210919003000,21642
VD,20210919003500,21689
VD,20210919004000,21658
VD,20210919004500,21580
VD,20210919005000,21313
VD,20210919005500,21194
VD,20210919010000,21077
VD,20210919010500,20983
VD,20210919011000,20856
VD,20210919011500,20937
VD,20210919012000,20887
VD,20210919012500,20832
VD,20210919013000,20781
VD,20210919013500,20705
VD,20210919014000,20612
VD,20210919014500,20567
VD,20210919015000,20506
VD,20210919015500,20294
VD,20210919020000,20169
VD,20210919020500,20081
VD,20210919021000,20039
VD,20210919021500,20168
VD,20210919022000,20112
VD,20210919022500,20103
VD,20210919023000,20060
VD,20210919023500,20048
VD,20210919024000,20019
VD,20210919024500,19901
VD,20210919025000,19709
VD,20210919025500,19626
VD,20210919030000,19591
VD,20210919030500,19627
VD,20210919031000,19610
VD,20210919031500,19595
VD,20210919032000,19686
VD,20210919032500,19775
VD,20210919033000,19775
VD,20210919033500,19811
VD,20210919034000,19832
VD,20210919034500,19883
VD,20210919035000,19899
VD,20210919035500,19828
VD,20210919040000,19697
VD,20210919040500,19722
VD,20210919041000,19810
VD,20210919041500,19878
VD,20210919042000,19892
VD,20210919042500,20103
VD,20210919043000,20113
VD,20210919043500,20172
VD,20210919044000,20177
VD,20210919044500,20160
VD,20210919045000,20207
VD,20210919045500,20071
VD,20210919050000,20178
VD,20210919050500,20354
VD,20210919051000,20549
VD,20210919051500,20661
VD,20210919052000,20787
VD,20210919052500,20890
VD,20210919053000,20986
VD,20210919053500,21083
VD,20210919054000,21146
VD,20210919054500,21159
VD,20210919055000,21243
VD,20210919055500,21263
VD,20210919060000,21174
VD,20210919060500,21446
VD,20210919061000,21550
VD,20210919061500,21618
VD,20210919062000,21619
VD,20210919062500,21709
VD,20210919063000,21914
VD,20210919063500,22106
VD,20210919064000,22270
VD,20210919064500,22430
VD,20210919065000,22641
VD,20210919065500,22932
VD,20210919070000,23012
VD,20210919070500,23257
VD,20210919071000,23429
VD,20210919071500,23668
VD,20210919072000,23847
VD,20210919072500,24046
VD,20210919073000,24211
VD,20210919073500,24367
VD,20210919074000,24527
VD,20210919074500,24579
VD,20210919075000,24690
VD,20210919075500,24785
VD,20210919080000,25046
VD,20210919080500,25165
VD,20210919081000,25357
VD,20210919081500,25613
VD,20210919082000,25759
VD,20210919082500,25846
VD,20210919083000,25945
VD,20210919083500,26078
VD,20210919084000,26125
VD,20210919084500,26197
VD,20210919085000,26251
VD,20210919085500,26261
VD,20210919090000,26293
VD,20210919090500,26367
VD,20210919091000,26401
VD,20210919091500,26360
VD,20210919092000,26329
VD,20210919092500,26318
VD,20210919093000,26294
VD,20210919093500,26273
VD,20210919094000,26277
VD,20210919094500,26216
VD,20210919095000,26229
VD,20210919095500,26255
VD,20210919100000,26254
VD,20210919100500,26250
VD,20210919101000,26263
VD,20210919101500,26290
VD,20210919102000,26393
VD,20210919102500,26438
VD,20210919103000,26514
VD,20210919103500,26542
VD,20210919104000,26599
VD,20210919104500,26527
VD,20210919105000,26538
VD,20210919105500,26557
VD,20210919110000,26567
VD,20210919110500,26625
VD,20210919111000,26692
VD,20210919111500,26759
VD,20210919112000,26808
VD,20210919112500,26794
VD,20210919113000,26790
VD,20210919113500,26811
VD,20210919114000,26777
VD,20210919114500,26664
VD,20210919115000,26660
VD,20210919115500,26614
VD,20210919120000,26618
VD,20210919120500,26659
VD,20210919121000,26721
VD,20210919121500,26631
VD,20210919122000,26545
VD,20210919122500,26448
VD,20210919123000,26370
VD,20210919123500,26378
VD,20210919124000,26360
VD,20210919124500,26283
VD,20210919125000,26240
VD,20210919125500,26168
VD,20210919130000,26110
VD,20210919130500,26124
VD,20210919131000,26124
VD,20210919131500,25991
VD,20210919132000,25888
VD,20210919132500,25812
VD,20210919133000,25806
VD,20210919133500,25800
VD,20210919134000,25731
VD,20210919134500,25702
VD,20210919135000,25771
VD,20210919135500,25892
VD,20210919140000,25973
VD,20210919140500,26120
VD,20210919141000,26157
VD,20210919141500,26200
VD,20210919142000,26271
VD,20210919142500,26312
VD,20210919143000,26392
VD,20210919143500,26474
VD,20210919144000,26496
VD,20210919144500,26509
VD,20210919145000,26599
VD,20210919145500,26677
VD,20210919150000,26820
VD,20210919150500,27175
VD,20210919151000,27449
VD,20210919151500,27608
VD,20210919152000,27791
VD,20210919152500,27967
VD,20210919153000,28169
VD,20210919153500,28448
VD,20210919154000,28577
VD,20210919154500,28666
VD,20210919155000,28896
VD,20210919155500,29121
VD,20210919160000,29321
VD,20210919160500,29625
VD,20210919161000,29744
VD,20210919161500,29892
VD,20210919162000,30060
VD,20210919162500,30197
VD,20210919163000,30266
VD,20210919163500,30311
VD,20210919164000,30347
VD,20210919164500,30312
VD,20210919165000,30382
VD,20210919165500,30364
VD,20210919170000,30374
VD,20210919170500,30484
VD,20210919171000,30508
VD,20210919171500,30506
VD,20210919172000,30546
VD,20210919172500,30580
VD,20210919173000,30624
VD,20210919173500,30611
VD,20210919174000,30522
VD,20210919174500,30579
VD,20210919175000,30702
VD,20210919175500,30717
VD,20210919180000,30807
VD,20210919180500,30796
VD,20210919181000,30750
VD,20210919181500,30726
VD,20210919182000,30810
VD,20210919182500,30896
VD,20210919183000,30922
VD,20210919183500,31090
VD,20210919184000,31004
VD,20210919184500,30877
VD,20210919185000,30840
VD,20210919185500,30738
VD,20210919190000,30597
VD,20210919190500,30713
VD,20210919191000,30538
VD,20210919191500,30388
VD,20210919192000,30212
VD,20210919192500,30110
VD,20210919193000,29982
VD,20210919193500,29977
VD,20210919194000,29885
VD,20210919194500,29637
VD,20210919195000,29461
VD,20210919195500,29389
VD,20210919200000,29049
VD,20210919200500,29006
VD,20210919201000,28831
VD,20210919201500,28634
VD,20210919202000,28549
VD,20210919202500,28406
VD,20210919203000,28114
VD,20210919203500,27737
VD,20210919204000,27575
VD,20210919204500,27438
VD,20210919205000,27255
VD,20210919205500,27069
VD,20210919210000,26831
VD,20210919210500,26706
VD,20210919211000,26431
VD,20210919211500,26170
VD,20210919212000,26000
VD,20210919212500,25768
VD,20210919213000,25581
VD,20210919213500,25316
VD,20210919214000,25123
VD,20210919214500,24950
VD,20210919215000,24736
VD,20210919215500,24545
VD,20210919220000,24363
VD,20210919220500,24049
VD,20210919221000,23730
VD,20210919221500,23455
VD,20210919222000,23204
VD,20210919222500,23033
VD,20210919223000,22803
VD,20210919223500,22602
VD,20210919224000,22434
VD,20210919224500,22188
VD,20210919225000,22111
VD,20210919225500,21973
VD,20210919230000,21817
VD,20210919230500,21917
VD,20210919231000,22052
VD,20210919231500,21989
VD,20210919232000,21919
VD,20210919232500,21822
VD,20210919233000,21741
VD,20210919233500,21818
VD,20210919234000,21677
VD,20210919234500,21606
VD,20210919235000,21418
VD,20210919235500,21368
VD,20210920000000,21264
VD,20210920000500,21281
VD,20210920001000,21252
VD,20210920001500,21303
VD,20210920002000,21199
VD,20210920002500,21344
VD,20210920003000,21290
VD,20210920003500,21361
VD,20210920004000,21388
VD,20210920004500,21401
VD,20210920005000,21246
VD,20210920005500,21193
VD,20210920010000,21069
VD,20210920010500,20905
VD,20210920011000,20828
VD,20210920011500,20782
VD,20210920012000,20877
VD,20210920012500,20890
VD,20210920013000,20841
VD,20210920013500,20842
VD,20210920014000,20801
VD,20210920014500,20758
VD,20210920015000,20534
VD,20210920015500,20420
VD,20210920020000,20392
VD,20210920020500,20462
VD,20210920021000,20530
VD,20210920021500,20528
VD,20210920022000,20721
VD,20210920022500,20784
VD,20210920023000,20773
VD,20210920023500,20733
VD,20210920024000,20722
VD,20210920024500,20700
VD,20210920025000,20488
VD,20210920025500,20397
VD,20210920030000,20358
VD,20210920030500,20277
VD,20210920031000,20299
VD,20210920031500,20339
VD,20210920032000,20543
VD,20210920032500,20592
VD,20210920033000,20641
VD,20210920033500,20669
VD,20210920034000,20679
VD,20210920034500,20549
VD,20210920035000,20428
VD,20210920035500,20344
VD,20210920040000,20177
VD,20210920040500,20167
VD,20210920041000,20222
VD,20210920041500,20432
VD,20210920042000,20444
VD,20210920042500,20499
VD,20210920043000,20665
VD,20210920043500,20846
VD,20210920044000,21049
VD,20210920044500,21302
VD,20210920045000,21546
VD,20210920045500,21844
VD,20210920050000,22214
VD,20210920050500,22905
VD,20210920051000,23680
VD,20210920051500,24156
VD,20210920052000,24489
VD,20210920052500,24805
VD,20210920053000,25028
VD,20210920053500,25280
VD,20210920054000,25672
VD,20210920054500,26058
VD,20210920055000,26293
VD,20210920055500,26718
VD,20210920060000,27189
VD,20210920060500,27885
VD,20210920061000,28588
VD,20210920061500,29129
VD,20210920062000,29460
VD,20210920062500,29752
VD,20210920063000,29897
VD,20210920063500,30022
VD,20210920064000,30168
VD,20210920064500,30191
VD,20210920065000,30154
VD,20210920065500,30272
VD,20210920070000,30339
VD,20210920070500,30504
VD,20210920071000,30655
VD,20210920071500,30703
VD,20210920072000,30735
VD,20210920072500,30863
VD,20210920073000,30755
VD,20210920073500,30730
VD,20210920074000,30834
VD,20210920074500,30716
VD,20210920075000,30756
VD,20210920075500,30794
VD,20210920080000,30833
VD,20210920080500,30951
VD,20210920081000,31014
VD,20210920081500,31023
VD,20210920082000,30997
VD,20210920082500,30924
VD,20210920083000,30880
VD,20210920083500,30687
VD,20210920084000,30536
VD,20210920084500,30432
VD,20210920085000,30385
VD,20210920085500,30235
VD,20210920090000,30112
VD,20210920090500,29872
VD,20210920091000,29765
VD,20210920091500,29655
VD,20210920092000,29604
VD,20210920092500,29578
VD,20210920093000,29501
VD,20210920093500,29443
VD,20210920094000,29285
VD,20210920094500,29210
VD,20210920095000,29161
VD,20210920095500,29098
VD,20210920100000,29024
VD,20210920100500,28996
VD,20210920101000,28899
VD,20210920101500,28869
VD,20210920102000,28829
VD,20210920102500,28794
VD,20210920103000,28761
VD,20210920103500,28728
VD,20210920104000,28687
VD,20210920104500,28673
VD,20210920105000,28689
VD,20210920105500,28684
VD,20210920110000,28624
VD,20210920110500,28720
VD,20210920111000,28771
VD,20210920111500,28832
VD,20210920112000,28910
VD,20210920112500,28914
VD,20210920113000,28772
VD,20210920113500,28733
VD,20210920114000,28636
VD,20210920114500,28532
VD,20210920115000,28520
VD,20210920115500,28482
VD,20210920120000,28428
VD,20210920120500,28576
VD,20210920121000,28582
VD,20210920121500,28577
VD,20210920122000,28499
VD,20210920122500,28422
VD,20210920123000,28332
VD,20210920123500,28347
VD,20210920124000,28194
VD,20210920124500,28195
VD,20210920125000,28148
VD,20210920125500,28067
VD,20210920130000,27913
VD,20210920130500,27936
VD,20210920131000,27811
VD,20210920131500,27694
VD,20210920132000,27633
VD,20210920132500,27664
VD,20210920133000,27666
VD,20210920133500,27597
VD,20210920134000,27595
VD,20210920134500,27676
VD,20210920135000,27704
VD,20210920135500,27717
VD,20210920140000,27636
VD,20210920140500,27730
VD,20210920141000,27755
VD,20210920141500,27703
VD,20210920142000,27785
VD,20210920142500,27889
VD,20210920143000,27983
VD,20210920143500,27998
VD,20210920144000,28023
VD,20210920144500,28274
VD,20210920145000,28610
VD,20210920145500,28735
VD,20210920150000,28961
VD,20210920150500,29179
VD,20210920151000,29295
VD,20210920151500,29559
VD,20210920152000,29758
VD,20210920152500,29933
VD,20210920153000,30085
VD,20210920153500,30349
VD,20210920154000,30566
VD,20210920154500,30780
VD,20210920155000,31054
VD,20210920155500,31245
VD,20210920160000,31431
VD,20210920160500,31427
VD,20210920161000,31625
VD,20210920161500,31910
VD,20210920162000,32212
VD,20210920162500,32486
VD,20210920163000,32561
VD,20210920163500,32731
VD,20210920164000,32833
VD,20210920164500,32975
VD,20210920165000,33164
VD,20210920165500,33179
VD,20210920170000,33312
VD,20210920170500,33303
VD,20210920171000,33265
VD,20210920171500,33316
VD,20210920172000,33340
VD,20210920172500,33326
VD,20210920173000,33352
VD,20210920173500,33651
VD,20210920174000,33651
VD,20210920174500,33619
